study_id,id
S02,Foreign_14_S02
S27,Foreign_14_S27
S30,Foreign_14_S30
S31,Foreign_14_S31
S16,Foreign_14_S16
S07,Foreign_14_S07
S08,Foreign_14_S08
S24,Foreign_14_S24
S28,Foreign_14_S28
S10,Foreign_14_S10
S34,Foreign_14_S34
S19,Foreign_14_S19
S06,Foreign_14_S06
S09,Foreign_14_S09
S15,Foreign_14_S15
S14,Foreign_14_S14
S01,Novel_14_S01
S06,Novel_14_S06
S09,Novel_14_S09
S10,Novel_14_S10
S16,Novel_14_S16
S25,Novel_14_S25
S27,Novel_14_S27
S35,Novel_14_S35
S38,Novel_14_S38
S41,Novel_14_S41
S42,Novel_14_S42
S43,Novel_14_S43
S52,Novel_14_S52
S55,Novel_14_S55
S56,Novel_14_S56
S57,Novel_14_S57
